1_0_19_52DA_80E_600_FFFF0000_0_0_0      |  AT5                               |  52DA_80E_600_FFFF0000=--------                    |  at5=at5
1_0_1_CFA5_83A_2_11A0000_0_0_0          |  ATN                               |  CFA5_83A_2_11A0000=--------                       |  atn=atnbangla
1_0_19_7EB_C_85_C00000_0_0_0            |  AXN Black                         |  7EB_C_85_C00000=--------                          |  axn black=axnblack
1_0_19_7EC_B_85_C00000_0_0_0            |  AXN White                         |  7EC_B_85_C00000=--------                          |  axn white=axnwhite
1_0_1_D331_836_2_11A0000_0_0_0          |  B4U Movies                        |  D331_836_2_11A0000=--------                       |  b4u movies=b4umovies
1_0_1_D32B_836_2_11A0000_0_0_0          |  B4U Music                         |  D32B_836_2_11A0000=--------                       |  b4u music=b4umusic
1_0_1_D7C8_840_2_11A0000_0_0_0          |  Babenation                        |  D7C8_840_2_11A0000=--------                       |  babenation=babestation
1_0_1_D322_836_2_11A0000_0_0_0          |  babes&brazzers                    |  D322_836_2_11A0000=--------                       |  babes&brazzers=babestvandbrazzerstv
1_0_1_160D_7E7_2_11A0000_0_0_0          |  BabyTV                            |  160D_7E7_2_11A0000=--------                       |  babytv=babytv
1_0_19_4C22_836_600_FFFF0000_0_0_0      |  BabyTV                            |  4C22_836_600_FFFF0000=--------                    |  babytv=babytv
1_0_2_465A_805_600_FFFF0000_0_0_0       |  Back 2 The 90s                    |  465A_805_600_FFFF0000=--------                    |  back 2 the 90s=xitemusic
1_0_2_1680_1044_233A_EEEE0000_0_0_0     |  BBC 6 Music                       |  1680_1044_233A_EEEE0000=--------                  |  bbc 6 music=bbcradio6music
1_0_19_22DE_80D_2_11A0000_0_0_0         |  BBC ALBA HD                       |  22DE_80D_2_11A0000=--------                       |  bbc alba hd=bbcalba
1_0_19_22DF_80D_2_11A0000_0_0_0         |  BBC ALBA HD                       |  22DF_80D_2_11A0000=--------                       |  bbc alba hd=bbcalba
1_0_1_332E_1388_13E_820000_0_0_0        |  BBC Arabic                        |  332E_1388_13E_820000=--------                     |  bbc arabic=bbcnewsarabic
1_0_2_2306_80D_2_11A0000_0_0_0          |  BBC Asian Net                     |  2306_80D_2_11A0000=--------                       |  bbc asian net=bbcradioasiannetwork
1_0_2_1740_1044_233A_EEEE0000_0_0_0     |  BBC Asian Net.                    |  1740_1044_233A_EEEE0000=--------                  |  bbc asian net=bbcradioasiannetwork
1_0_2_1883_1044_233A_EEEE0000_0_0_0     |  BBC Berkshire                     |  1883_1044_233A_EEEE0000=--------                  |  bbc berkshire=bbcradioberkshire
1_0_2_1887_1044_233A_EEEE0000_0_0_0     |  BBC Essex                         |  1887_1044_233A_EEEE0000=--------                  |  bbc essex=bbcradioessex
